model,function,offset,city,mean_absolute_error,mean_squared_error,time
MLPRegressor,max,2,Reynosa,0.20853721671971032,0.06085163959688612,673899318.0
MLPRegressor,max,2,Tijuana,0.15965549036609683,0.03857656775725402,983179971.0
MLPRegressor,max,3,Acapulco de Juárez,0.2010190896419866,0.06085330157625484,1298426867.0
MLPRegressor,max,3,Benito Juárez,0.22568905236585968,0.0728456144045306,665458751.0
MLPRegressor,max,3,Centro,0.3043846353273171,0.12237705779454006,768971193.0
MLPRegressor,max,3,Chihuahua,0.19028398332635363,0.06878346275068478,1831152621.0
MLPRegressor,max,3,Cuauhtémoc,0.26332379704508146,0.11294277122985043,1489243507.0
MLPRegressor,max,3,Culiacán,0.22190930636017556,0.07598607153309406,1348738647.0
MLPRegressor,max,3,Ecatepec de Morelos,0.16375507651593688,0.04469337823176237,1402268867.0
MLPRegressor,max,3,Guadalajara,0.18289652208787152,0.046395496138952,1767016915.0
MLPRegressor,max,3,Irapuato,0.23052624449380044,0.09031535884831346,607124894.0
MLPRegressor,max,3,Iztapalapa,0.1901149947717733,0.06638262240674876,1855105561.0
MLPRegressor,max,3,Juárez,0.18303241520788013,0.04613607967640472,1712027334.0
MLPRegressor,max,3,León,0.10378223620513313,0.01631371448957053,1152481150.0
MLPRegressor,max,3,Morelia,0.22889581531072664,0.07289247698582986,1199989851.0
MLPRegressor,max,3,Reynosa,0.09934243777176227,0.013480817973768239,1551769254.0
MLPRegressor,max,3,Tijuana,0.11688874062575765,0.021033855728987857,1867130515.0
MLPRegressor,max,4,Acapulco de Juárez,0.21041831086821508,0.06838704873093673,1979414623.0
MLPRegressor,max,4,Benito Juárez,0.15172438699173166,0.028087556016536206,1817355547.0
MLPRegressor,max,4,Centro,0.1940746792516042,0.054364193532955164,1823495543.0
MLPRegressor,max,4,Chihuahua,0.12652860202651178,0.0316921533514621,2050233115.0
MLPRegressor,max,4,Cuauhtémoc,0.19248786021992292,0.06180779867242976,2006621178.0
MLPRegressor,max,4,Culiacán,0.23289064318008526,0.07524903129889561,1960521890.0
MLPRegressor,max,4,Ecatepec de Morelos,0.12295946492540273,0.022161350275582477,1885103403.0
MLPRegressor,max,4,Guadalajara,0.20110136509699256,0.06042226620249144,1837537067.0
MLPRegressor,max,4,Irapuato,0.1598314657228848,0.03552168681351792,1943040850.0
MLPRegressor,max,4,Iztapalapa,0.20228847292094668,0.06524526653926846,2033369431.0
MLPRegressor,max,4,Juárez,0.15974640656514832,0.04594259272743414,1887777506.0
MLPRegressor,max,4,León,0.11057160084081795,0.018635571687264214,1905278232.0
MLPRegressor,max,4,Morelia,0.1816610108313415,0.043841851531685586,2007252285.0
MLPRegressor,max,4,Reynosa,0.10672743397201809,0.02267683111242971,2020812219.0
MLPRegressor,max,4,Tijuana,0.15233768048647633,0.0360135606566334,1927383180.0
MLPRegressor,max,5,Acapulco de Juárez,0.2016218306281638,0.05899995251223089,1953897417.0
MLPRegressor,max,5,Benito Juárez,0.19141574587188914,0.05550780456519271,2237922986.0
MLPRegressor,max,5,Centro,0.21863521421543164,0.07930226695765497,2436320987.0
MLPRegressor,max,5,Chihuahua,0.13025281030857824,0.023020818638733526,2188618380.0
MLPRegressor,max,5,Cuauhtémoc,0.19255965263246694,0.05799144013023779,2299301214.0
MLPRegressor,max,5,Culiacán,0.21288964065516555,0.059877276098013736,2032325576.0
MLPRegressor,max,5,Ecatepec de Morelos,0.1104605498438018,0.018167966565953517,2065450231.0
MLPRegressor,max,5,Guadalajara,0.13938286111216888,0.028443237288106996,2103249244.0
MLPRegressor,max,5,Irapuato,0.1561226652132076,0.0358838908881712,1724598533.0
MLPRegressor,max,5,Iztapalapa,0.20320452636745714,0.06475169147346704,2094180447.0
MLPRegressor,max,5,Juárez,0.2212835722245527,0.06329924006227598,1848765455.0
MLPRegressor,max,5,León,0.09069355585449759,0.013565301618660694,2071662037.0
MLPRegressor,max,5,Morelia,0.18716382666226744,0.04722650948134231,2410334792.0
MLPRegressor,max,5,Reynosa,0.17423955976809943,0.05125166344791992,1782077003.0
MLPRegressor,max,5,Tijuana,0.19900847874059602,0.047621094119531505,2067635274.0
MLPRegressor,max,6,Acapulco de Juárez,0.13051558372532063,0.02618990907425387,2567828836.0
MLPRegressor,max,6,Benito Juárez,0.1385665225787163,0.029609086016648523,2394302493.0
MLPRegressor,max,6,Centro,0.21542132546207574,0.06456336639051033,2495761387.0
MLPRegressor,max,6,Chihuahua,0.10007145781455018,0.01933938857853561,2580073183.0
MLPRegressor,max,6,Cuauhtémoc,0.18708308371626248,0.055644031639850274,2540885011.0
MLPRegressor,max,6,Culiacán,0.20736925851460264,0.05858146450327937,2342659051.0
MLPRegressor,max,6,Ecatepec de Morelos,0.15003851049779607,0.03206587967830235,2010166314.0
MLPRegressor,max,6,Guadalajara,0.20181165427126088,0.05037222520605697,1871292412.0
MLPRegressor,max,6,Irapuato,0.23503690400692245,0.08577568165400916,1778583215.0
MLPRegressor,max,6,Iztapalapa,0.22394109697678022,0.07558532495570837,1499739229.0
MLPRegressor,max,6,Juárez,0.2084886478022543,0.06036753818826466,2258614952.0
MLPRegressor,max,6,León,0.0975274376172099,0.014537184182179037,2434823827.0
MLPRegressor,max,6,Morelia,0.21722442459710464,0.06655290841293326,2200966701.0
MLPRegressor,max,6,Reynosa,0.12086459838217417,0.020342352012553237,1941462009.0
MLPRegressor,max,6,Tijuana,0.17570759630297086,0.04236899482704338,2441690036.0
MLPRegressor,max,7,Acapulco de Juárez,0.19557701257392462,0.049697124455384496,2493793084.0
MLPRegressor,max,7,Benito Juárez,0.1302906853242414,0.02189864747375951,2843365241.0
MLPRegressor,max,7,Centro,0.1881619652135746,0.054545690598306766,2724271943.0
MLPRegressor,max,7,Chihuahua,0.10666434730199749,0.019363516853561375,2728751598.0
MLPRegressor,max,7,Cuauhtémoc,0.21358435996693778,0.062334056547181334,2809084993.0
MLPRegressor,max,7,Culiacán,0.23345786261656348,0.07133164966863216,2495513690.0
MLPRegressor,max,7,Ecatepec de Morelos,0.13442072676818234,0.02461426092150666,2274666358.0
MLPRegressor,max,7,Guadalajara,0.2667955041138682,0.10339351792430448,1565592147.0
MLPRegressor,max,7,Irapuato,0.1587454466996421,0.03882046684650256,2494998552.0
MLPRegressor,max,7,Iztapalapa,0.1802946258172256,0.05774557439244604,1671659954.0
MLPRegressor,max,7,Juárez,0.16044272960240435,0.0440836919492217,1630086647.0
MLPRegressor,max,7,León,0.1164091135492323,0.021797558556178008,2791343708.0
MLPRegressor,max,7,Morelia,0.22050579942367893,0.07451599608601595,2671598258.0
MLPRegressor,max,7,Reynosa,0.10523137964659438,0.02401240411272388,2347425215.0
MLPRegressor,max,7,Tijuana,0.15649567153222174,0.042250805267682656,2535881361.0
MLPRegressor,max,8,Acapulco de Juárez,0.14676111778011,0.03336287790334573,2911676864.0
MLPRegressor,max,8,Benito Juárez,0.1592167593512233,0.03705546562432311,3082547831.0
MLPRegressor,max,8,Centro,0.1772211760965322,0.05850672424504,3083424438.0
MLPRegressor,max,8,Chihuahua,0.1702071268520851,0.038639181618317774,2958429418.0
MLPRegressor,max,8,Cuauhtémoc,0.2245373661202245,0.07003285505099074,3236087337.0
MLPRegressor,max,8,Culiacán,0.2725494975435495,0.10079274339908822,2709819511.0
MLPRegressor,max,8,Ecatepec de Morelos,0.12140735624459817,0.022538683127752267,2505801455.0
MLPRegressor,max,8,Guadalajara,0.23121066361207082,0.07222557498102204,1664227109.0
MLPRegressor,max,8,Irapuato,0.14766652870342054,0.0358403761199152,2403218594.0
MLPRegressor,max,8,Iztapalapa,0.19351020652028936,0.06669327788282368,1603080621.0
MLPRegressor,max,8,Juárez,0.20325384954203402,0.05619922199499704,2374244565.0
MLPRegressor,max,8,León,0.13166084889423377,0.024686048079809078,2906125236.0
MLPRegressor,max,8,Morelia,0.21314130127420367,0.05542540936013568,2950439093.0
MLPRegressor,max,8,Reynosa,0.12090874526748607,0.02446174727503545,2836934103.0
MLPRegressor,max,8,Tijuana,0.13285879795136585,0.023407544819782983,2948455872.0
MLPRegressor,max,9,Acapulco de Juárez,0.19886840814741855,0.06953950673046216,1925567468.0
MLPRegressor,max,9,Benito Juárez,0.14016158793320252,0.029791724705634678,2482490041.0
MLPRegressor,max,9,Centro,0.23328834477633392,0.09940321326372335,2554785266.0
MLPRegressor,max,9,Chihuahua,0.10389798376915192,0.019078485990571884,3042999241.0
MLPRegressor,max,9,Cuauhtémoc,0.23267851483072846,0.07695892379668089,2204023150.0
MLPRegressor,max,9,Culiacán,0.2995997286153508,0.11835635417983655,2206711975.0
MLPRegressor,max,9,Ecatepec de Morelos,0.14585632938917678,0.04215293618952796,2061933441.0
MLPRegressor,max,9,Guadalajara,0.18940737432696717,0.07315622536078832,2147057123.0
MLPRegressor,max,9,Irapuato,0.1450160907949713,0.02787436973053778,2159703126.0
MLPRegressor,max,9,Iztapalapa,0.27258787183138555,0.1265778057521379,1763628044.0
MLPRegressor,max,9,Juárez,0.2209342154757191,0.10097935334115993,2220309195.0
MLPRegressor,max,9,León,0.19406419234948014,0.06513627704706268,1767118372.0
MLPRegressor,max,9,Morelia,0.1783018447744274,0.046442982353710256,2337599465.0
MLPRegressor,max,9,Reynosa,0.19292893866716412,0.05904021373613756,2327087644.0
